grid_frequency,battery_soc,wind_speed,last_updated,temperature,grid_import_power,grid_export_power,voltage_level,humidity,load_demand,cloud_cover,solar_irradiance,row_index,total_power_generation,electricity_price,solar_power_output,timestamp,subgrid_id,wind_power_output
50.4583877100364,4.29,19.512661307310108,2026-04-21 17:08:27.809000+00:00,21.778581325597614,57.85,10.45,219.5137992538628,64.69812342319318,87.37,62.30495000800127,781.4902432585719,0,130.65,9.55209445081569,56.48,2023-01-01 00:00:00+00:00,subgrid_1,74.17
49.65965260930153,15.23,12.15546447754804,2026-04-21 17:08:28.376000+00:00,42.54229686805924,2.01,16.21,211.9409169328692,58.77622069415402,66.83,43.925172820539785,151.58791190231946,1,146.6,4.573793922854725,89.9,2023-01-01 00:15:00+00:00,subgrid_1,56.7
50.19706927737198,23.54,6.805729341967939,2026-04-21 17:08:32.593000+00:00,24.73692852766429,31.51,19.87,248.5506635496453,65.72167727167682,51.37,50.30847954736897,639.5538263773112,10,94.16,7.471913864812529,3.19,2023-01-01 02:30:00+00:00,subgrid_1,90.97
49.710240513280354,0.85,18.17323339690101,2026-04-21 17:09:08.963000+00:00,21.89968839874336,2.71,20.72,219.35065930520216,68.66626767235945,48.83,53.84805761250525,36.89328891076815,100,22.02,3.4341146255868207,1.19,2023-01-02 01:00:00+00:00,subgrid_1,20.83
50.25436219582791,7.01,6.452241228828353,2026-04-21 17:09:09.335000+00:00,33.54271869494971,102.12,53.53,246.1074853193349,63.69699995814237,142.76,29.131339115513462,219.80071196192372,101,166.01,3.6515666231346895,94.59,2023-01-02 01:15:00+00:00,subgrid_1,71.42
50.14663512606832,2.72,19.353283962928412,2026-04-21 17:09:09.758000+00:00,17.022715986110452,31.2,25.37,227.0206347001094,35.93819550320161,111.6,14.71196841463841,309.56935223823143,102,57.45,4.950463623363982,30.87,2023-01-02 01:30:00+00:00,subgrid_1,26.58
50.17630988843059,12.65,1.9415498094731487,2026-04-21 17:09:10.147000+00:00,28.941712687501123,13.74,44.98,219.43582666985125,52.816427597809714,55.47,99.4627918505732,616.8840719663948,103,121.72,11.278113299493564,65.87,2023-01-02 01:45:00+00:00,subgrid_1,55.85
49.73657028348924,10.99,18.053423405500737,2026-04-21 17:09:10.536000+00:00,33.28384758032293,93.9,136.03,247.10229899756752,62.55883963820366,101.56,90.04332274414101,534.1016900858655,104,228.64,4.141164754951452,164.78,2023-01-02 02:00:00+00:00,subgrid_1,63.86
49.89962263427453,16.46,8.904242441317173,2026-04-21 17:09:10.935000+00:00,27.655751771024907,122.44,83.06,222.86469325033937,82.40501938767568,48.88,63.50124374930797,218.2694828533861,105,93.7,9.728427399202369,42.88,2023-01-02 02:15:00+00:00,subgrid_1,50.82
49.75837969025874,9.7,1.4748833028232131,2026-04-21 17:09:11.419000+00:00,15.573790518711911,84.27,71.58,238.93866290127133,72.31233897356341,195.32,89.1542873923946,164.24106722315446,106,64.33,10.80339448007014,50.21,2023-01-02 02:30:00+00:00,subgrid_1,14.12
49.56812592947343,9.55,17.59043185172175,2026-04-21 17:09:11.855000+00:00,44.56558070708597,36.25,15.01,231.48690156800237,54.12727561487478,28.14,93.54627375078188,236.7980345961188,107,84.5,10.89768919695381,61.75,2023-01-02 02:45:00+00:00,subgrid_1,22.75
